chain;date;nb_holders
Ethereum;2022-03-23;91859
Ethereum;2022-03-24;91843
Ethereum;2022-03-25;91956
Ethereum;2022-03-26;92062
Ethereum;2022-03-27;92098
Ethereum;2022-03-28;92156
Ethereum;2022-03-29;92118
Ethereum;2022-03-30;92077
Ethereum;2022-03-31;92043
Ethereum;2022-04-01;92026
Ethereum;2022-04-02;92058
Ethereum;2022-04-03;92040
Ethereum;2022-04-04;92001
Ethereum;2022-04-05;91933
Ethereum;2022-04-06;91893
Ethereum;2022-04-07;91816
Ethereum;2022-04-08;91791
Ethereum;2022-04-09;91754
Ethereum;2022-04-10;91848
Ethereum;2022-04-11;91812
Ethereum;2022-04-12;91717
Ethereum;2022-04-13;91684
Ethereum;2022-04-14;91648
Ethereum;2022-04-15;91610
Ethereum;2022-04-16;91555
Ethereum;2022-04-17;91513
Ethereum;2022-04-18;91461
Ethereum;2022-04-19;91399
Ethereum;2022-04-20;91365
Ethereum;2022-04-21;91409
Arbitrum;2022-03-23;1817
Arbitrum;2022-03-24;1814
Arbitrum;2022-03-25;1814
Arbitrum;2022-03-26;1805
Arbitrum;2022-03-27;1805
Arbitrum;2022-03-28;1802
Arbitrum;2022-03-29;1792
Arbitrum;2022-03-30;1787
Arbitrum;2022-03-31;1782
Arbitrum;2022-04-01;1786
Arbitrum;2022-04-02;1782
Arbitrum;2022-04-03;1786
Arbitrum;2022-04-04;1781
Arbitrum;2022-04-05;1783
Arbitrum;2022-04-06;1788
Arbitrum;2022-04-07;1779
Arbitrum;2022-04-08;1778
Arbitrum;2022-04-09;1775
Arbitrum;2022-04-10;1790
Arbitrum;2022-04-11;1788
Arbitrum;2022-04-12;1784
Arbitrum;2022-04-13;1789
Arbitrum;2022-04-14;1786
Arbitrum;2022-04-15;1780
Arbitrum;2022-04-16;1782
Arbitrum;2022-04-17;1776
Arbitrum;2022-04-18;1771
Arbitrum;2022-04-19;1772
Arbitrum;2022-04-20;1773
Arbitrum;2022-04-21;1769
Avalanche;2022-03-23;15466
Avalanche;2022-03-24;15463
Avalanche;2022-03-25;15544
Avalanche;2022-03-26;15554
Avalanche;2022-03-27;15560
Avalanche;2022-03-28;15579
Avalanche;2022-03-29;15570
Avalanche;2022-03-30;15573
Avalanche;2022-03-31;15549
Avalanche;2022-04-01;15546
Avalanche;2022-04-02;15535
Avalanche;2022-04-03;15524
Avalanche;2022-04-04;15511
Avalanche;2022-04-05;15476
Avalanche;2022-04-06;15466
Avalanche;2022-04-07;15433
Avalanche;2022-04-08;15424
Avalanche;2022-04-09;15424
Avalanche;2022-04-10;15422
Avalanche;2022-04-11;15411
Avalanche;2022-04-12;15399
Avalanche;2022-04-13;15393
Avalanche;2022-04-14;15380
Avalanche;2022-04-15;15366
Avalanche;2022-04-16;15357
Avalanche;2022-04-17;15345
Avalanche;2022-04-18;15324
Avalanche;2022-04-19;15297
Avalanche;2022-04-20;15291
Avalanche;2022-04-21;15294
Fantom;2022-03-23;844
Fantom;2022-03-24;849
Fantom;2022-03-25;859
Fantom;2022-03-26;873
Fantom;2022-03-27;884
Fantom;2022-03-28;887
Fantom;2022-03-29;899
Fantom;2022-03-30;891
Fantom;2022-03-31;886
Fantom;2022-04-01;889
Fantom;2022-04-02;899
Fantom;2022-04-03;910
Fantom;2022-04-04;908
Fantom;2022-04-05;897
Fantom;2022-04-06;895
Fantom;2022-04-07;899
Fantom;2022-04-08;892
Fantom;2022-04-09;893
Fantom;2022-04-10;892
Fantom;2022-04-11;884
Fantom;2022-04-12;886
Fantom;2022-04-13;875
Fantom;2022-04-14;874
Fantom;2022-04-15;878
Fantom;2022-04-16;877
Fantom;2022-04-17;877
Fantom;2022-04-18;874
Fantom;2022-04-19;876
Fantom;2022-04-20;875
Fantom;2022-04-21;880
Polygon;2022-03-23;1599
Polygon;2022-03-24;1610
Polygon;2022-03-25;1621
Polygon;2022-03-26;1629
Polygon;2022-03-27;1636
Polygon;2022-03-28;1641
Polygon;2022-03-29;1637
Polygon;2022-03-30;1642
Polygon;2022-03-31;1637
Polygon;2022-04-01;1637
Polygon;2022-04-02;1632
Polygon;2022-04-03;1633
Polygon;2022-04-04;1636
Polygon;2022-04-05;1642
Polygon;2022-04-06;1637
Polygon;2022-04-07;1636
Polygon;2022-04-08;1633
Polygon;2022-04-09;1637
Polygon;2022-04-10;1641
Polygon;2022-04-11;1644
Polygon;2022-04-12;1637
Polygon;2022-04-13;1643
Polygon;2022-04-14;1644
Polygon;2022-04-15;1652
Polygon;2022-04-16;1656
Polygon;2022-04-17;1658
Polygon;2022-04-18;1661
Polygon;2022-04-19;1661
Polygon;2022-04-20;1662
Polygon;2022-04-21;1659
Moonriver;2022-03-23;16
Moonriver;2022-03-24;17
Moonriver;2022-03-25;17
Moonriver;2022-03-26;17
Moonriver;2022-03-27;17
Moonriver;2022-03-28;17
Moonriver;2022-03-29;17
Moonriver;2022-03-30;17
Moonriver;2022-03-31;17
Moonriver;2022-04-01;17
Moonriver;2022-04-02;18
Moonriver;2022-04-03;18
Moonriver;2022-04-04;18
Moonriver;2022-04-05;18
Moonriver;2022-04-06;17
Moonriver;2022-04-07;17
Moonriver;2022-04-08;17
Moonriver;2022-04-09;18
Moonriver;2022-04-10;18
Moonriver;2022-04-11;18
Moonriver;2022-04-12;18
Moonriver;2022-04-13;18
Moonriver;2022-04-14;18
Moonriver;2022-04-15;18
Moonriver;2022-04-16;17
Moonriver;2022-04-17;17
Moonriver;2022-04-18;17
Moonriver;2022-04-19;17
Moonriver;2022-04-20;17
Moonriver;2022-04-21;17
