chain;date;nb_holders
Arbitrum;2021-11-14;394
Arbitrum;2021-11-15;396
Arbitrum;2021-11-16;407
Arbitrum;2021-11-17;412
Arbitrum;2021-11-18;417
Arbitrum;2021-11-19;421
Arbitrum;2021-11-20;421
Arbitrum;2021-11-21;421
Arbitrum;2021-11-22;427
Arbitrum;2021-11-23;434
Arbitrum;2021-11-24;431
Arbitrum;2021-11-25;437
Arbitrum;2021-11-26;443
Arbitrum;2021-11-27;446
Arbitrum;2021-11-28;454
Arbitrum;2021-11-29;456
Arbitrum;2021-11-30;454
Arbitrum;2021-12-01;458
Arbitrum;2021-12-02;464
Arbitrum;2021-12-03;465
Arbitrum;2021-12-04;473
Arbitrum;2021-12-05;483
Arbitrum;2021-12-06;482
Arbitrum;2021-12-07;483
Arbitrum;2021-12-08;493
Arbitrum;2021-12-09;512
Arbitrum;2021-12-10;529
Arbitrum;2021-12-11;558
Arbitrum;2021-12-12;568
Arbitrum;2021-12-13;591
Arbitrum;2021-12-14;596
Arbitrum;2021-12-15;606
Arbitrum;2021-12-16;629
Arbitrum;2021-12-17;654
Arbitrum;2021-12-18;666
Arbitrum;2021-12-19;693
Arbitrum;2021-12-20;712
Arbitrum;2021-12-21;728
Arbitrum;2021-12-22;763
Arbitrum;2021-12-23;803
Arbitrum;2021-12-24;824
Arbitrum;2021-12-25;863
Arbitrum;2021-12-26;875
Arbitrum;2021-12-27;889
Arbitrum;2021-12-28;902
Arbitrum;2021-12-29;918
Arbitrum;2021-12-30;927
Arbitrum;2021-12-31;931
Arbitrum;2022-01-01;991
Arbitrum;2022-01-02;1013
Arbitrum;2022-01-03;999
Arbitrum;2022-01-04;1007
Arbitrum;2022-01-05;1027
Arbitrum;2022-01-06;1059
Arbitrum;2022-01-07;1064
Arbitrum;2022-01-08;1076
Arbitrum;2022-01-09;1094
Arbitrum;2022-01-10;1104
Arbitrum;2022-01-11;1150
Arbitrum;2022-01-12;1177
Arbitrum;2022-01-13;1181
Arbitrum;2022-01-14;1204
Arbitrum;2022-01-15;1207
Arbitrum;2022-01-16;1213
Arbitrum;2022-01-17;1220
Arbitrum;2022-01-18;1254
Arbitrum;2022-01-19;1273
Arbitrum;2022-01-20;1284
Arbitrum;2022-01-21;1287
Arbitrum;2022-01-22;1284
Arbitrum;2022-01-23;1275
Arbitrum;2022-01-24;1281
Arbitrum;2022-01-25;1294
Arbitrum;2022-01-26;1314
Arbitrum;2022-01-27;1324
Arbitrum;2022-01-28;1315
Arbitrum;2022-01-29;1389
Arbitrum;2022-01-30;1426
Arbitrum;2022-01-31;1451
Arbitrum;2022-02-01;1515
Arbitrum;2022-02-02;1511
Arbitrum;2022-02-03;1524
Arbitrum;2022-02-04;1539
Arbitrum;2022-02-05;1554
Arbitrum;2022-02-06;1555
Arbitrum;2022-02-07;1545
Arbitrum;2022-02-08;1555
Arbitrum;2022-02-09;1559
Arbitrum;2022-02-10;1655
Arbitrum;2022-02-11;1687
Arbitrum;2022-02-12;1695
Arbitrum;2022-02-13;1699
Arbitrum;2022-02-14;1712
Arbitrum;2022-02-15;1721
Arbitrum;2022-02-16;1733
